Make,Model,Year,Fuel Type,MPG Data,Combined Mpg For Fuel Type1,Co2  Tailpipe For Fuel Type1,Engine displacement
BMW,323i Convertible,2000,Premium,Y,18,493.72222222222223,2.5
BMW,330ci,2001,Premium,Y,21,423.1904761904762,3.0
Honda,Accord,2002,Regular,Y,23,386.39130434782606,2.3
Ford,Taurus,2002,Regular,Y,21,423.1904761904762,3.0
Ford,F150 Pickup 2WD,2003,Regular,Y,16,555.4375,4.6
Hyundai,Sonata,2017,Regular,Y,29,307.0,2.4
Volvo,XC60 AWD PHEV,2018,Premium and Electricity,Y,26,199.0,2.0
Lexus,RX 450h AWD,2020,Premium,Y,30,297.0,3.5
Ford,Escape FWD,2012,Regular,Y,23,386.39130434782606,2.5
Nissan,Rogue AWD,2015,Regular,Y,27,327.0,2.5
Ford,Fusion Hybrid FWD,2016,Regular,Y,41,214.0,2.0
Buick,Terraza AWD,2005,Regular,Y,17,522.7647058823529,3.5
Toyota,Tacoma 2WD,2006,Regular,Y,16,555.4375,4.0
Jeep,Grand Cherokee 2WD,2006,Regular,Y,15,592.4666666666667,4.7
Infiniti,QX56 4WD,2006,Regular,Y,14,634.7857142857143,5.6
BMW,X3 xDrive30i,2009,Premium,Y,20,444.35,3.0
Hyundai,Sonata Hybrid,2019,Regular,Y,41,217.0,2.0
Nissan,Titan 4WD PRO4X,2020,Premium,Y,17,524.0,5.6
Mercedes-Benz,GLK250 Bluetec 4matic,2014,Diesel,Y,27,371.0,2.1
GMC,Canyon 2WD,2016,Diesel,Y,25,409.0,2.8
Volvo,S60 FWD,2007,Premium,Y,22,403.95454545454544,2.5
Ram,1500 4WD,2013,Midgrade,Y,15,578.0,5.7
Audi,S6,2015,Premium,Y,20,441.0,4.0
Toyota,Prius,2015,Regular,Y,48,185.0,1.8
Ford,Focus FWD,2015,Regular,Y,31,286.0,2.0
Mitsubishi,Lancer,2006,Regular,Y,22,403.95454545454544,2.4
Jeep,Commander 4WD,2007,Regular,Y,15,592.4666666666667,3.7
